"";"ILI rate";"αρ. γριπωδών συνδρομών";"αρ. επισκέψεων";"ILI rate variance";"Παθολόγοι / Γεν.ιατροί που δήλωσαν";"Παιδίατροι που δήλωσαν";"Εκτιμώμενος πληθυσμιακός παρονομαστής (σύνολο)"
"201349";1,2;150;9850;1,3142321978231;91;55;201650
"201350";0,95;154;9177;2,23470276854854;84;55;188568
"201351";1,35;100;7092;1,19790670998555;65;38;143297
"201352";0,72;65;3460;2,22752690609747;49;34;111099
"201401";4,43;119;4925;1,22463824065023;54;34;120443
"201402";6,06;169;8051;1,19865871170245;66;49;151484
"201403";8,13;280;9638;1,09211478807767;78;50;174484
"201404";14,67;364;9328;1,11972667788059;77;47;170892
"201405";18,15;475;9632;1,11176851739157;80;48;177072
"201406";16,17;426;10036;1,13349012969768;78;43;170463
"201407";24,44;515;8637;1,16299299778609;78;47;172761
"201408";21,56;508;8899;1,12241159030011;71;46;159105
"201409";26,9;521;9651;1,08653429975431;77;46;170317
"201410";23,85;422;9419;1,04163207673132;78;48;173335
"201411";11,89;376;9258;1,14794543974352;77;42;168020
"201412";7,82;221;7438;1,08201912618325;62;36;136542
"201413";15,02;168;6326;1,11493947619643;63;38;139559
"201414";7,39;172;8454;1,15251119495402;69;41;152495
"201415";3,69;121;7046;1,22180666107727;57;37;127772
"201416";3,54;64;4062;1,42588855902423;45;28;100178
"201417";2,06;111;5773;1,83029354234865;62;42;139988
"201418";0,68;88;6242;2,36494478404318;61;40;136971
"201419";1,34;74;8256;1,94271300020576;74;36;158967
"201420";1;66;6683;1,62229624144591;65;40;144446
"201421";0,63;73;6259;5,64478953961731;60;40;135102
"201422";0,66;71;7139;2,4754189720449;61;38;135822
"201423";0,05;58;6379;11,2916485114209;56;28;120734
"201424";0,17;46;6640;6,08870076740129;67;32;143588
"201425";0,26;70;6497;3,78296459555335;60;33;131081
"201426";0,05;34;5922;87,7926291233599;58;36;129067
"201427";0,03;18;5434;27,6659799672136;49;32;109950
"201428";0,05;34;5919;32,023191263578;54;30;118145
"201429";0,43;24;5239;2,38399710622303;44;30;99458
"201430";0,12;39;5196;1,24237137379186;55;28;118865
"201431";0,04;27;4774;1,14919899898523;50;25;107798
"201432";0,02;30;4653;3,36516473134624;41;20;88107
"201433";0,02;22;4026;1,08664811630541;38;20;82501
"201434";0,05;26;4773;1,82197179359518;45;26;99029
"201435";0,02;23;5489;2,70317743989009;48;30;106933
"201436";0,01;27;7876;3,75068374571082;57;37;127772
"201437";0,03;50;8362;10,3610745629647;64;41;143151
"201438";0,05;39;6655;13,3657881990235;55;38;124609
"201439";0,02;38;6631;13,1194972981484;53;40;122021
